item_name,text,Type,Answers,Values,Score: AQ_Test,Optional,side_text,btn_width,
Instructions1,"Please choose to from the scale ranging from 1=""not at all characteristic of me"" to 5=""entirely characteristic of me"".",Instruct,,,,,,,
IU1,Uncertainty stops me from having a strong opinion.,likert,1|2|3|4|5,1|2|3|4|5,1,No,not at all characteristic of me|entirely characteristic of me,50px,
IU2,Being uncertain means that a person is disorganized.,likert,1|2|3|4|5,1|2|3|4|5,1,No,not at all characteristic of me|entirely characteristic of me,50px,
IU3,Uncertainty makes life intolerable.,likert,1|2|3|4|5,1|2|3|4|5,1,No,not at all characteristic of me|entirely characteristic of me,50px,
IU4,It's unfair having no guarantees in life.,likert,1|2|3|4|5,1|2|3|4|5,1,No,not at all characteristic of me|entirely characteristic of me,50px,
IU5,My mind can't be relaxed if I don't know what will happen tomorrow.,likert,1|2|3|4|5,1|2|3|4|5,1,No,not at all characteristic of me|entirely characteristic of me,50px,
IU6,"Uncertainty makes me uneasy, anxious, or stressed.",likert,1|2|3|4|5,1|2|3|4|5,1,No,not at all characteristic of me|entirely characteristic of me,50px,
IU7,Unforeseen events upset me greatly.,likert,1|2|3|4|5,1|2|3|4|5,1,No,not at all characteristic of me|entirely characteristic of me,50px,
IU8,It frustrates me not having all the information I need.,likert,1|2|3|4|5,1|2|3|4|5,1,No,not at all characteristic of me|entirely characteristic of me,50px,
IU9,Uncertainty keeps me from living a full life.,likert,1|2|3|4|5,1|2|3|4|5,1,No,not at all characteristic of me|entirely characteristic of me,50px,
IU10,One should always look ahead so as to avoid surprises.,likert,1|2|3|4|5,1|2|3|4|5,1,No,not at all characteristic of me|entirely characteristic of me,50px,
IU11,"A small unforeseen event can spoil everything, even with the best planning.",likert,1|2|3|4|5,1|2|3|4|5,1,No,not at all characteristic of me|entirely characteristic of me,50px,
IU12,"When it's time to act, uncertainty paralyses me.",likert,1|2|3|4|5,1|2|3|4|5,1,No,not at all characteristic of me|entirely characteristic of me,50px,
IU13,Being uncertain means that I am not first rate.,likert,1|2|3|4|5,1|2|3|4|5,1,No,not at all characteristic of me|entirely characteristic of me,50px,
IU14,"When I am uncertain, I can't go forward.",likert,1|2|3|4|5,1|2|3|4|5,1,No,not at all characteristic of me|entirely characteristic of me,50px,
IU15,"When I am uncertain, I can't function very well.",likert,1|2|3|4|5,1|2|3|4|5,1,No,not at all characteristic of me|entirely characteristic of me,50px,
IU16,"Unlike me, others seem to know where they are going with their lives.",likert,1|2|3|4|5,1|2|3|4|5,1,No,not at all characteristic of me|entirely characteristic of me,50px,
IU17,"Uncertainty makes me vulnerable, unhappy, or sad.",likert,1|2|3|4|5,1|2|3|4|5,1,No,not at all characteristic of me|entirely characteristic of me,50px,
IU18,I always want to know what the future has in store for me.,likert,1|2|3|4|5,1|2|3|4|5,1,No,not at all characteristic of me|entirely characteristic of me,50px,
IU19,I can't stand being taken by surprise.,likert,1|2|3|4|5,1|2|3|4|5,1,No,not at all characteristic of me|entirely characteristic of me,50px,
IU20,The smallest doubt can stop me from acting.,likert,1|2|3|4|5,1|2|3|4|5,1,No,not at all characteristic of me|entirely characteristic of me,50px,
IU21,I should be able to organize everything in advance.,likert,1|2|3|4|5,1|2|3|4|5,1,No,not at all characteristic of me|entirely characteristic of me,50px,
IU22,Being uncertain means that I lack confidence.,likert,1|2|3|4|5,1|2|3|4|5,1,No,not at all characteristic of me|entirely characteristic of me,50px,
IU23,I think it's unfair that other people seem to be sure about their future.,likert,1|2|3|4|5,1|2|3|4|5,1,No,not at all characteristic of me|entirely characteristic of me,50px,
IU24,Uncertainty keeps me from sleeping soundly.,likert,1|2|3|4|5,1|2|3|4|5,1,No,not at all characteristic of me|entirely characteristic of me,50px,
IU25,I must get away from all uncertain situations.,likert,1|2|3|4|5,1|2|3|4|5,1,No,not at all characteristic of me|entirely characteristic of me,50px,
IU26,The ambiguities in life stress me.,likert,1|2|3|4|5,1|2|3|4|5,1,No,not at all characteristic of me|entirely characteristic of me,50px,
IU27,I can't stand being undecided about my future.,likert,1|2|3|4|5,1|2|3|4|5,1,No,not at all characteristic of me|entirely characteristic of me,50px,
,,,,,,,,,
