item_name,text,Type,Answers,Values,Score: internal_loc_control,Optional,side_text,side_width,
Instructions1,"<span style='color:#006699'><span style='font-size:20px'>For each question please select a number that reflects which statement you agree with more. 
<br>
<br>1 means you completely agree with the left statement. 
<br>7 means you completely agree with the right statement. 
<br>4 means you agree with each statement equally</span></span>",instruct,,,,,,,
rot_loc1,,likert,1|2|3|4|5|6|7,1|2|3|4|5|6|7,,No,Children get into trouble because their parents punish them too much.|The trouble with most children nowadays is that their parents are too easy with them.,200px,
rot_loc2,,likert,1|2|3|4|5|6|7,1|2|3|4|5|6|7,1,No,"Many of the unhappy things in people's lives are partly due to bad luck.|People's misfortunes result from the mistakes they make. ",200px,
rot_loc3,,likert,1|2|3|4|5|6|7,1|2|3|4|5|6|7,r1,No,"One of the major reasons why we have wars is because people don't take enough interest in
politics. |There will always be wars, no matter how hard people try to prevent them. ",200px,
rot_loc4,,likert,1|2|3|4|5|6|7,1|2|3|4|5|6|7,r1,No,"In the long run people get the respect they deserve in this world|Unfortunately, an individual's worth often passes unrecognized no matter how hard he tries ",200px,
rot_loc5,,likert,1|2|3|4|5|6|7,1|2|3|4|5|6|7,r1,No,"The idea that teachers are unfair to students is nonsense.|Most students don't realize the extent to which their grades are influenced by accidental
happenings. ",200px,
rot_loc6,,likert,1|2|3|4|5|6|7,1|2|3|4|5|6|7,1,No,Without the right breaks one cannot be an effective leader.| Capable people who fail to become leaders hive not taken advantage of their opportunities.,200px,
rot_loc7,,likert,1|2|3|4|5|6|7,1|2|3|4|5|6|7,1,No,No matter how hard you try some people just don't like you.| People who can't get others to like them don't understand how to get along with others.,200px,
rot_loc8,,likert,1|2|3|4|5|6|7,1|2|3|4|5|6|7,,No,"Heredity plays the major role in determining one's personality|It is one's experiences in life which determine what they're like. ",200px,
rot_loc9,,likert,1|2|3|4|5|6|7,1|2|3|4|5|6|7,1,No,"I have often found that what is going to happen will happen|Trusting to fate has never turned out as well for me as making a decision to take a definite
course of action.",200px,
rot_loc10,,likert,1|2|3|4|5|6|7,1|2|3|4|5|6|7,r1,No,"In the case of the well prepared student there is rarely if ever such a thing as an unfair test.|Many times exam questions tend to be so unrelated to course work that studying in really
useless. ",200px,
rot_loc11,,likert,1|2|3|4|5|6|7,1|2|3|4|5|6|7,r1,No,"Becoming a success is a matter of hard work, luck has little or nothing to do with it. |Getting a good job depends mainly on being in the right place at the right time. ",200px,
rot_loc12,,likert,1|2|3|4|5|6|7,1|2|3|4|5|6|7,r1,No,"The average citizen can have an influence in government decisions.|This world is run by the few people in power, and there is not much the little guy can do
about it.",200px,
rot_loc13,,likert,1|2|3|4|5|6|7,1|2|3|4|5|6|7,r1,No,"When I make plans, I am almost certain that I can make them work.|It is not always wise to plan too far ahead because many things turn out to- be a matter of
good or bad fortune anyhow. ",200px,
rot_loc14,,likert,1|2|3|4|5|6|7,1|2|3|4|5|6|7,,No,"There are certain people who are just no good.|There is some good in everybody. ",200px,
rot_loc15,,likert,1|2|3|4|5|6|7,1|2|3|4|5|6|7,r1,No," In my case getting what I want has little or nothing to do with luck.|Many times we might just as well decide what to do by flipping a coin. ",200px,
rot_loc16,,likert,1|2|3|4|5|6|7,1|2|3|4|5|6|7,1,No,"Who gets to be the boss often depends on who was lucky enough to be in the right place first.| Getting people to do the right thing depends upon ability. Luck has little or nothing to do
with it. ",200px,
rot_loc17,,likert,1|2|3|4|5|6|7,1|2|3|4|5|6|7,1,No,"As far as world affairs are concerned, most of us are the victims of forces we can neither
understand, nor control.|By taking an active part in political and social affairs the people can control world events.",200px,
rot_loc18,,likert,1|2|3|4|5|6|7,1|2|3|4|5|6|7,1,No,"Most people don't realize the extent to which their lives are controlled by accidental
happenings.|There really is no such thing as ""luck."" ",200px,
rot_loc19,,likert,1|2|3|4|5|6|7,1|2|3|4|5|6|7,,No,One should always be willing to admit mistakes.|It is usually best to cover up one's mistakes.,200px,
rot_loc20,,likert,1|2|3|4|5|6|7,1|2|3|4|5|6|7,1,No,It is hard to know whether or not a person really likes you.|How many friends you have depends upon how nice a person you are.,200px,
rot_loc21,,likert,1|2|3|4|5|6|7,1|2|3|4|5|6|7,1,No,"In the long run the bad things that happen to us are balanced by the good ones.|Most misfortunes are the result of lack of ability, ignorance, laziness, or all three.",200px,
rot_loc22,,likert,1|2|3|4|5|6|7,1|2|3|4|5|6|7,r1,No,With enough effort we can wipe out political corruption.|It is difficult for people to have much control over the things politicians do in office.,200px,
rot_loc23,,likert,1|2|3|4|5|6|7,1|2|3|4|5|6|7,1,No,Sometimes I can't understand how teachers arrive at the grades they give.|There is a direct connection between how hard 1 study and the grades I get.,200px,
rot_loc24,,likert,1|2|3|4|5|6|7,1|2|3|4|5|6|7,,No,A good leader expects people to decide for themselves what they should do.|A good leader makes it clear to everybody what their jobs are.,200px,
rot_loc25,,likert,1|2|3|4|5|6|7,1|2|3|4|5|6|7,1,No,Many times I feel that I have little influence over the things that happen to me.|It is impossible for me to believe that chance or luck plays an important role in my life.,200px,
rot_loc26,,likert,1|2|3|4|5|6|7,1|2|3|4|5|6|7,r1,No,"People are lonely because they don't try to be friendly.|There's not much use in trying too hard to please people, if they like you, they like you.",200px,
rot_loc27,,likert,1|2|3|4|5|6|7,1|2|3|4|5|6|7,,No,There is too much emphasis on athletics in high school.|Team sports are an excellent way to build character.,200px,
rot_loc28,,likert,1|2|3|4|5|6|7,1|2|3|4|5|6|7,r1,No,What happens to me is my own doing.|Sometimes I feel that I don't have enough control over the direction my life is taking.,200px,
rot_loc29,,likert,1|2|3|4|5|6|7,1|2|3|4|5|6|7,1,No,"Most of the time I can't understand why politicians behave the way they do.|In the long run the people are responsible for bad government on a national as well as on a
local level.",200px,
,,,,,,,,,
